title|sub_title|level|ranked|genre1|genre2|individual|first_play|full_combo|do_jo||||||
Stick Trick ShowTime!!||8|7|8|0|0|0|0|0||||||
メタルホーク BGM1|메탈 호크 BGM1|8|7|5|0|1|0|0|0||||||
ラパスの虹|라파스의 무지개|8|7|8|0|1|0|0|0||||||
星河一天|성하일천|8|8|8|0|1|0|1|0||||||
郢曲／暁闇|영곡/효암|8|8|6|8|1|0|0|0||||||
χ談|괴담|8|8|8|0|1|0|0|0||||||
キューティー☆デモニック☆魔人エモ!!|큐티☆데모닉☆마인에모!!|8|8|8|0|1|1|0|0||||||
λ7708|BOLLY|8|8|8|0|0|0|1|0||||||
双竜ノ乱|쌍룡의 난|8|8|8|0|1|0|1|0||||||
幻想即興曲|환상 즉흥곡|8|8|7|8|0|0|0|0||||||
らんぶる乱舞|럼블 난무|8|8|8|0|0|0|0|0||||||
Heaven's Rider||8|8|8|0|0|0|0|0||||||
Turquoise Tachometer||8|8|8|0|0|0|0|0||||||
サタデー太鼓フィーバー|새터데이 태고 피버|8|8|8|0|0|0|0|0||||||
隼|준|8|8|8|0|0|1|0|0||||||
サーフサイド・サティ|서프사이드 새티|8|8|7|8|0|0|0|0||||||
きたさいたま200|키타 사이타마 200|8|8|8|0|0|0|0|0||||||
須佐之男|스사노오|8|8|8|0|0|0|0|0||||||
Black Rose Apostle||8|8|8|0|0|0|0|0||||||
Blue Rose Ruin||8|8|8|0|0|0|0|0||||||
天妖ノ舞|천요의 춤|8|8|8|0|0|0|0|0||||||
MATSURI D／A||8|8|8|0|0|0|0|0||||||
OK I’m blue rat||8|8|8|0|0|0|0|0||||||
ゆらめ|흔들림|8|9|5|0|0|0|0|0||||||
Amber Light||8|9|8|0|0|0|0|0||||||
Hello, Mr.JOKER||8|9|8|0|0|0|0|0||||||
The Future of the 太鼓ドラム|The Future of the 태고 드럼|8|9|8|0|0|0|0|0||||||
たいこの2000|태고의 2000|8|9|8|0|0|0|0|0||||||
晨星ト鵺|신성과 누에|8|9|8|0|0|0|0|0||||||
